"DATE", "UVINDEX"
20210414,5.929824561
20210415,8.463298379
20210416,6.030075188
20210417,5.889724311
20210418,5.909774436
20210419,7.662535748
20210420,5.689223058
20210421,5.80952381
20210422,7.250714967
20210423,5.448621554
20210424,5.478696742
20210425,5.117794486
20210426,7.021925643
20210427,5.067669173
20210428,5.258145363
20210429,5.308270677
20210430,7.021925643
20210501,5.378446115
20210502,5.769423559
20210503,5.488721805
20210504,6.175405148
20210505,5.418546366
20210506,5.167919799
20210507,5.946615825
20210508,5.047619048
20210509,5.187969925
20210510,5.147869674
20210511,5.489037178
20210512,5.027568922
20210513,4.456140351
20210514,4.776942356
20210515,5.283126787
20210516,5.348370927
20210517,5.308270677
20210518,5.809342231
20210519,5.047619048
20210520,4.86716792
20210521,4.71679198
20210522,5.100095329
20210523,4.385964912
20210524,4.456140351
20210525,4.496240602
20210526,4.482364156
20210527,4.536340852
20210528,4.586466165
20210529,5.351763584
20210530,4.355889724
20210531,4.275689223
20210601,4.745471878
20210602,4.436606292
20210603,4.493803622
20210604,4.528122021
20210605,4.585319352
20210606,4.642516683
20210607,4.413727359
20210608,4.106355383
20210609,3.929961089
20210610,4.380543634
20210611,4.064850843
20210612,4.064850843
20210613,4.220492866
20210614,4.266094421
20210615,4.064850843
20210616,3.784695201
20210617,3.660181582
20210618,4.151645207
20210619,3.805447471
20210620,4.220492866
20210621,4.31387808
20210622,4.277539342
20210623,4.303501946
20210624,4.158236057
20210625,3.991416309
20210626,4.116731518
20210627,4.407263294
20210628,4.448767834
20210629,3.922746781
20210630,4.448767834
20210701,4.500648508
20210702,4.521400778
20210703,4.197424893
20210704,4.80155642
20210705,4.116731518
20210706,4.469520104
20210707,4.277539342
20210708,4.241245136
20210709,4.33463035
20210710,4.094420601
20210711,3.929961089
20210712,4.988326848
20210713,4.957198444
20210714,3.808297568
20210715,5.258106355
20210716,5.3307393
20210717,5.258106355
20210718,4.334763948
20210719,5.060959792
20210720,5.175097276
20210721,5.102464332
20210722,4.426323319
20210723,5.050583658
20210724,5.341115435
20210725,5.372243839
20210726,4.540772532
20210727,5.818417639
20210728,5.974059663
20210729,4.483547926
20210730,6.005188067
20210731,6.150453956
20210801,5.984435798
20210802,5.010014306
20210803,6.046692607
20210804,6.181582361
20210805,6.077821012
20210806,5.284692418
20210807,5.766536965
20210808,5.859922179
20210809,5.600518807
20210810,5.067238913
20210811,6.440985733
20210812,6.482490272
20210813,6.866407263
20210814,6.017167382
20210815,7.354085603
20210816,7.167315175
20210817,7.042801556
20210818,6.074391989
20210819,6.949416342
20210820,7.188067445
20210821,5.776824034
20210822,7.011673152
20210823,6.513618677
20210824,6.555123217
20210825,6.497854077
20210826,7.333333333
20210827,7.167315175
20210828,7.530479896
20210829,7.0472103
20210830,8.101167315
20210831,8.547341115
20210901,7.035765379
20210902,7.62386511
20210903,7.405966278
20210904,7.758754864
20210905,7.696498054
20210906,7.550786838
20210907,8.059662776
20210908,8.412451362
20210909,7.642346209
20210910,8.464332036
20210911,8.630350195
20210912,8.785992218
20210913,8.091428571
20210914,8.391699092
20210915,8.225680934
20210916,8.443579767
20210917,8.8
20210918,8.920881971
20210919,9.159533074
20210920,8.468571429
20210921,9.387808042
20210922,8.464332036
20210923,8.713359274
20210924,8.48
20210925,8.630350195
20210926,8.962386511
20210927,9.377431907
20210928,9.394285714
20210929,9.076523995
20210930,9.564202335
20211001,9.131428571
20211002,9.314285714
20211003,9.691428571
20211004,9.371428571
20211005,9.691428571
20211006,9.691428571
20211007,9.565714286
20211008,9.37755102
20211009,8.979591837
20211010,8.683673469
20211011,8.724489796
20211012,9.867346939
20211013,10.24489796
20211014,10.32653061
20211015,9.887755102
20211016,10.25510204
20211017,10.7755102
20211018,11.14285714
20211019,11.14285714
20211020,11.5
20211021,11.46938776
20211022,12.15306122
20211023,11.23469388
20211024,10.51020408
20211025,10
20211026,10.02040816
20211027,10.71428571
20211028,11.18367347
20211029,11.1122449
20211030,10.44897959
20211031,11.14285714
20211101,10.95918367
20211102,10.78571429
20211103,11.17346939
20211104,12.08163265
20211105,12.78571429
20211106,11.8877551
20211107,11.7244898
20211108,11.70408163
20211109,10.94897959
20211110,11.06122449
20211111,11.3877551
20211112,11.58163265
20211113,12.16326531
20211114,12.59183673
20211115,12.74489796
20211116,13.35714286
20211117,13.66326531
20211118,12.91836735
20211119,12.74489796
20211120,12.91836735
20211121,13.55102041
20211122,13.36734694
20211123,12.19387755
20211124,12.91836735
20211125,12.5
20211126,12.86734694
20211127,12.76530612
20211128,12.62244898
20211129,13.1122449
20211130,13.29591837
20211201,11.83673469
20211202,12.14285714
20211203,12.5
20211204,13.10204082
20211205,13.68367347
20211206,13.02040816
20211207,12.78571429
20211208,12.36734694
20211209,12.15306122
20211210,12.42857143
20211211,12.81632653
20211212,12.67346939
20211213,13.29591837
20211214,13.7244898
20211215,14.21714286
20211216,14.19428571
20211217,14.35428571
20211218,14.30857143
20211219,13.6122449
20211220,14.28571429
20211221,14.30857143
20211222,14.37714286
20211223,13.92857143
20211224,14.24
20211225,14.46857143
20211226,14.4
